assessment_id,course_id,max_score
ASS-0001,CRS-0003,100
ASS-0002,CRS-0091,100
ASS-0003,CRS-0060,100
ASS-0004,CRS-0004,100
ASS-0005,CRS-0068,100
ASS-0006,CRS-0067,100
ASS-0007,CRS-0009,100
ASS-0008,CRS-0086,100
ASS-0009,CRS-0034,100
ASS-0010,CRS-0024,100
ASS-0011,CRS-0032,100
ASS-0012,CRS-0046,100
ASS-0013,CRS-0049,100
ASS-0014,CRS-0032,100
ASS-0015,CRS-0012,100
ASS-0016,CRS-0064,100
ASS-0017,CRS-0042,100
ASS-0018,CRS-0077,100
ASS-0019,CRS-0040,100
ASS-0020,CRS-0024,100
ASS-0021,CRS-0068,100
ASS-0022,CRS-0096,100
ASS-0023,CRS-0053,100
ASS-0024,CRS-0032,100
ASS-0025,CRS-0030,100
ASS-0026,CRS-0043,100
ASS-0027,CRS-0036,100
ASS-0028,CRS-0096,100
ASS-0029,CRS-0020,100
ASS-0030,CRS-0085,100
ASS-0031,CRS-0018,100
ASS-0032,CRS-0039,100
ASS-0033,CRS-0004,100
ASS-0034,CRS-0032,100
ASS-0035,CRS-0055,100
ASS-0036,CRS-0065,100
ASS-0037,CRS-0030,100
ASS-0038,CRS-0061,100
ASS-0039,CRS-0047,100
ASS-0040,CRS-0060,100
ASS-0041,CRS-0035,100
ASS-0042,CRS-0021,100
ASS-0043,CRS-0074,100
ASS-0044,CRS-0010,100
ASS-0045,CRS-0050,100
ASS-0046,CRS-0052,100
ASS-0047,CRS-0015,100
ASS-0048,CRS-0040,100
ASS-0049,CRS-0052,100
ASS-0050,CRS-0084,100
ASS-0051,CRS-0076,100
ASS-0052,CRS-0051,100
ASS-0053,CRS-0093,100
ASS-0054,CRS-0053,100
ASS-0055,CRS-0077,100
ASS-0056,CRS-0100,100
ASS-0057,CRS-0090,100
ASS-0058,CRS-0090,100
ASS-0059,CRS-0043,100
ASS-0060,CRS-0088,100
ASS-0061,CRS-0040,100
ASS-0062,CRS-0078,100
ASS-0063,CRS-0001,100
ASS-0064,CRS-0036,100
ASS-0065,CRS-0003,100
ASS-0066,CRS-0003,100
ASS-0067,CRS-0025,100
ASS-0068,CRS-0090,100
ASS-0069,CRS-0014,100
ASS-0070,CRS-0100,100
ASS-0071,CRS-0097,100
ASS-0072,CRS-0060,100
ASS-0073,CRS-0067,100
ASS-0074,CRS-0035,100
ASS-0075,CRS-0069,100
ASS-0076,CRS-0009,100
ASS-0077,CRS-0004,100
ASS-0078,CRS-0092,100
ASS-0079,CRS-0071,100
ASS-0080,CRS-0008,100
ASS-0081,CRS-0100,100
ASS-0082,CRS-0023,100
ASS-0083,CRS-0068,100
ASS-0084,CRS-0040,100
ASS-0085,CRS-0004,100
ASS-0086,CRS-0036,100
ASS-0087,CRS-0019,100
ASS-0088,CRS-0071,100
ASS-0089,CRS-0085,100
ASS-0090,CRS-0046,100
ASS-0091,CRS-0075,100
ASS-0092,CRS-0061,100
ASS-0093,CRS-0023,100
ASS-0094,CRS-0064,100
ASS-0095,CRS-0083,100
ASS-0096,CRS-0040,100
ASS-0097,CRS-0040,100
ASS-0098,CRS-0081,100
ASS-0099,CRS-0006,100
ASS-0100,CRS-0062,100
