enrollment_id,user_id,course_id,enrollment_date
ENR-0001,USR-0085,CRS-0074,2025-01-26 23:36:44
ENR-0002,USR-0057,CRS-0083,2025-11-27 03:06:13
ENR-0003,USR-0022,CRS-0094,2025-12-16 03:31:53
ENR-0004,USR-0029,CRS-0075,2025-02-27 10:00:25
ENR-0005,USR-0016,CRS-0069,2024-11-22 06:13:44
ENR-0006,USR-0069,CRS-0067,2024-12-17 23:02:07
ENR-0007,USR-0032,CRS-0006,2025-08-24 00:09:55
ENR-0008,USR-0011,CRS-0039,2025-01-18 11:03:17
ENR-0009,USR-0047,CRS-0062,2026-02-19 11:22:43
ENR-0010,USR-0068,CRS-0064,2024-11-29 08:33:52
ENR-0011,USR-0033,CRS-0076,2025-12-02 05:15:50
ENR-0012,USR-0065,CRS-0061,2026-02-22 15:15:11
ENR-0013,USR-0069,CRS-0012,2024-07-10 11:55:53
ENR-0014,USR-0007,CRS-0074,2025-02-05 15:52:51
ENR-0015,USR-0053,CRS-0004,2024-08-17 23:50:44
ENR-0016,USR-0014,CRS-0057,2024-07-27 11:54:31
ENR-0017,USR-0012,CRS-0021,2026-01-24 19:20:40
ENR-0018,USR-0056,CRS-0095,2025-08-29 00:55:09
ENR-0019,USR-0096,CRS-0100,2024-09-14 14:25:06
ENR-0020,USR-0022,CRS-0051,2026-04-24 16:30:21
ENR-0021,USR-0065,CRS-0067,2025-11-10 02:20:36
ENR-0022,USR-0010,CRS-0015,2024-12-05 09:40:27
ENR-0023,USR-0065,CRS-0027,2024-10-16 23:15:03
ENR-0024,USR-0048,CRS-0075,2025-02-01 14:27:47
ENR-0025,USR-0054,CRS-0073,2025-09-22 02:53:39
ENR-0026,USR-0014,CRS-0043,2025-09-17 17:04:44
ENR-0027,USR-0062,CRS-0084,2025-08-03 00:38:02
ENR-0028,USR-0017,CRS-0005,2025-08-09 03:13:09
ENR-0029,USR-0097,CRS-0019,2026-04-03 10:38:47
ENR-0030,USR-0038,CRS-0043,2024-10-30 05:58:17
ENR-0031,USR-0035,CRS-0095,2026-02-01 18:38:34
ENR-0032,USR-0017,CRS-0041,2026-05-26 12:20:36
ENR-0033,USR-0053,CRS-0052,2025-07-04 23:45:57
ENR-0034,USR-0055,CRS-0016,2024-06-13 16:18:15
ENR-0035,USR-0028,CRS-0070,2025-08-21 22:05:52
ENR-0036,USR-0004,CRS-0021,2025-07-11 13:48:17
ENR-0037,USR-0075,CRS-0037,2024-07-30 20:41:56
ENR-0038,USR-0019,CRS-0053,2025-05-28 20:17:02
ENR-0039,USR-0044,CRS-0001,2024-11-21 04:44:21
ENR-0040,USR-0035,CRS-0055,2025-10-24 09:10:06
ENR-0041,USR-0042,CRS-0046,2024-09-27 23:48:23
ENR-0042,USR-0030,CRS-0064,2025-02-28 11:00:17
ENR-0043,USR-0009,CRS-0034,2024-07-22 15:20:59
ENR-0044,USR-0085,CRS-0054,2026-03-06 10:35:34
ENR-0045,USR-0027,CRS-0068,2025-02-07 13:56:56
ENR-0046,USR-0007,CRS-0080,2024-08-02 09:09:14
ENR-0047,USR-0002,CRS-0090,2025-01-25 10:36:28
ENR-0048,USR-0042,CRS-0090,2026-01-08 05:44:02
ENR-0049,USR-0045,CRS-0076,2026-04-18 02:55:41
ENR-0050,USR-0025,CRS-0061,2024-09-12 07:20:50
ENR-0051,USR-0016,CRS-0044,2024-08-15 15:36:26
ENR-0052,USR-0043,CRS-0047,2025-12-24 23:48:34
ENR-0053,USR-0098,CRS-0023,2024-09-17 08:12:14
ENR-0054,USR-0089,CRS-0077,2025-03-24 05:24:37
ENR-0055,USR-0055,CRS-0060,2025-01-05 19:11:12
ENR-0056,USR-0061,CRS-0016,2024-11-01 09:10:13
ENR-0057,USR-0058,CRS-0083,2025-08-06 07:45:08
ENR-0058,USR-0005,CRS-0057,2026-04-01 10:12:44
ENR-0059,USR-0004,CRS-0061,2025-03-25 22:15:34
ENR-0060,USR-0083,CRS-0053,2024-12-29 13:13:51
ENR-0061,USR-0047,CRS-0013,2025-12-02 16:31:32
ENR-0062,USR-0043,CRS-0055,2026-02-15 05:51:16
ENR-0063,USR-0008,CRS-0021,2024-09-04 03:16:19
ENR-0064,USR-0022,CRS-0057,2024-08-13 22:38:04
ENR-0065,USR-0052,CRS-0018,2024-12-03 11:40:57
ENR-0066,USR-0078,CRS-0028,2026-02-25 10:17:22
ENR-0067,USR-0051,CRS-0052,2025-09-25 03:58:30
ENR-0068,USR-0067,CRS-0040,2026-02-25 11:00:55
ENR-0069,USR-0009,CRS-0044,2024-12-14 19:56:48
ENR-0070,USR-0059,CRS-0062,2026-04-04 04:03:42
ENR-0071,USR-0078,CRS-0049,2024-06-29 21:07:47
ENR-0072,USR-0001,CRS-0050,2025-06-24 03:30:03
ENR-0073,USR-0034,CRS-0017,2026-05-15 23:58:06
ENR-0074,USR-0056,CRS-0080,2025-09-12 12:08:53
ENR-0075,USR-0060,CRS-0082,2024-12-16 18:34:08
ENR-0076,USR-0041,CRS-0005,2025-05-31 23:48:18
ENR-0077,USR-0034,CRS-0038,2025-10-25 10:50:13
ENR-0078,USR-0037,CRS-0052,2026-03-24 16:33:57
ENR-0079,USR-0075,CRS-0056,2026-04-02 18:06:22
ENR-0080,USR-0018,CRS-0074,2025-11-28 09:02:28
ENR-0081,USR-0031,CRS-0053,2025-10-18 02:34:29
ENR-0082,USR-0004,CRS-0070,2025-09-05 11:56:03
ENR-0083,USR-0012,CRS-0094,2024-11-18 13:07:10
ENR-0084,USR-0022,CRS-0054,2026-05-30 09:30:21
ENR-0085,USR-0011,CRS-0017,2026-03-12 02:12:48
ENR-0086,USR-0031,CRS-0062,2026-02-08 12:24:53
ENR-0087,USR-0099,CRS-0088,2025-12-20 05:51:21
ENR-0088,USR-0019,CRS-0072,2024-12-10 08:08:53
ENR-0089,USR-0087,CRS-0031,2025-03-03 02:16:35
ENR-0090,USR-0097,CRS-0049,2025-11-20 05:05:54
ENR-0091,USR-0043,CRS-0092,2024-08-11 04:31:17
ENR-0092,USR-0076,CRS-0044,2024-09-19 18:30:07
ENR-0093,USR-0034,CRS-0092,2025-12-28 13:32:08
ENR-0094,USR-0083,CRS-0023,2025-02-28 04:21:23
ENR-0095,USR-0017,CRS-0020,2026-05-29 21:03:36
ENR-0096,USR-0096,CRS-0089,2024-12-25 07:03:59
ENR-0097,USR-0093,CRS-0007,2026-02-08 11:22:31
ENR-0098,USR-0065,CRS-0060,2024-10-18 22:59:18
ENR-0099,USR-0087,CRS-0058,2026-03-08 22:58:24
ENR-0100,USR-0062,CRS-0023,2026-01-23 18:35:50
