activity_id,user_id,lesson_id,activity_status
ACT-0001,USR-0077,LES-0054,not_started
ACT-0002,USR-0079,LES-0004,completed
ACT-0003,USR-0066,LES-0093,completed
ACT-0004,USR-0056,LES-0088,completed
ACT-0005,USR-0002,LES-0041,not_started
ACT-0006,USR-0077,LES-0050,completed
ACT-0007,USR-0076,LES-0043,in_progress
ACT-0008,USR-0040,LES-0036,not_started
ACT-0009,USR-0034,LES-0088,in_progress
ACT-0010,USR-0032,LES-0007,completed
ACT-0011,USR-0095,LES-0100,in_progress
ACT-0012,USR-0005,LES-0059,not_started
ACT-0013,USR-0077,LES-0035,in_progress
ACT-0014,USR-0019,LES-0002,not_started
ACT-0015,USR-0029,LES-0074,not_started
ACT-0016,USR-0014,LES-0094,not_started
ACT-0017,USR-0017,LES-0099,completed
ACT-0018,USR-0014,LES-0018,not_started
ACT-0019,USR-0007,LES-0100,not_started
ACT-0020,USR-0009,LES-0051,completed
ACT-0021,USR-0044,LES-0077,completed
ACT-0022,USR-0011,LES-0074,completed
ACT-0023,USR-0023,LES-0096,completed
ACT-0024,USR-0077,LES-0026,in_progress
ACT-0025,USR-0036,LES-0009,not_started
ACT-0026,USR-0053,LES-0063,not_started
ACT-0027,USR-0088,LES-0043,not_started
ACT-0028,USR-0055,LES-0011,not_started
ACT-0029,USR-0078,LES-0089,not_started
ACT-0030,USR-0049,LES-0085,not_started
ACT-0031,USR-0068,LES-0098,in_progress
ACT-0032,USR-0064,LES-0008,completed
ACT-0033,USR-0091,LES-0023,in_progress
ACT-0034,USR-0062,LES-0061,completed
ACT-0035,USR-0058,LES-0085,in_progress
ACT-0036,USR-0096,LES-0058,not_started
ACT-0037,USR-0033,LES-0046,completed
ACT-0038,USR-0074,LES-0068,completed
ACT-0039,USR-0006,LES-0053,in_progress
ACT-0040,USR-0023,LES-0074,completed
ACT-0041,USR-0077,LES-0027,in_progress
ACT-0042,USR-0010,LES-0081,completed
ACT-0043,USR-0066,LES-0008,completed
ACT-0044,USR-0099,LES-0009,completed
ACT-0045,USR-0004,LES-0020,in_progress
ACT-0046,USR-0084,LES-0087,completed
ACT-0047,USR-0042,LES-0014,in_progress
ACT-0048,USR-0079,LES-0002,not_started
ACT-0049,USR-0060,LES-0058,completed
ACT-0050,USR-0061,LES-0044,not_started
ACT-0051,USR-0039,LES-0006,not_started
ACT-0052,USR-0011,LES-0018,not_started
ACT-0053,USR-0016,LES-0078,in_progress
ACT-0054,USR-0030,LES-0026,not_started
ACT-0055,USR-0014,LES-0043,completed
ACT-0056,USR-0075,LES-0017,not_started
ACT-0057,USR-0053,LES-0079,in_progress
ACT-0058,USR-0032,LES-0015,in_progress
ACT-0059,USR-0018,LES-0076,not_started
ACT-0060,USR-0032,LES-0023,in_progress
ACT-0061,USR-0095,LES-0004,not_started
ACT-0062,USR-0004,LES-0060,completed
ACT-0063,USR-0099,LES-0012,in_progress
ACT-0064,USR-0044,LES-0004,in_progress
ACT-0065,USR-0068,LES-0085,not_started
ACT-0066,USR-0068,LES-0024,in_progress
ACT-0067,USR-0002,LES-0086,completed
ACT-0068,USR-0012,LES-0038,completed
ACT-0069,USR-0036,LES-0048,in_progress
ACT-0070,USR-0017,LES-0093,not_started
ACT-0071,USR-0077,LES-0040,completed
ACT-0072,USR-0009,LES-0070,in_progress
ACT-0073,USR-0030,LES-0086,in_progress
ACT-0074,USR-0065,LES-0041,not_started
ACT-0075,USR-0065,LES-0082,in_progress
ACT-0076,USR-0044,LES-0009,in_progress
ACT-0077,USR-0001,LES-0001,in_progress
ACT-0078,USR-0073,LES-0009,in_progress
ACT-0079,USR-0045,LES-0084,not_started
ACT-0080,USR-0082,LES-0067,in_progress
ACT-0081,USR-0045,LES-0068,not_started
ACT-0082,USR-0096,LES-0023,completed
ACT-0083,USR-0098,LES-0018,completed
ACT-0084,USR-0034,LES-0064,completed
ACT-0085,USR-0029,LES-0054,in_progress
ACT-0086,USR-0079,LES-0095,in_progress
ACT-0087,USR-0016,LES-0057,not_started
ACT-0088,USR-0068,LES-0020,in_progress
ACT-0089,USR-0044,LES-0064,in_progress
ACT-0090,USR-0100,LES-0099,completed
ACT-0091,USR-0011,LES-0093,completed
ACT-0092,USR-0026,LES-0006,in_progress
ACT-0093,USR-0011,LES-0002,in_progress
ACT-0094,USR-0097,LES-0015,not_started
ACT-0095,USR-0059,LES-0002,not_started
ACT-0096,USR-0095,LES-0087,completed
ACT-0097,USR-0043,LES-0042,in_progress
ACT-0098,USR-0023,LES-0038,not_started
ACT-0099,USR-0006,LES-0049,in_progress
ACT-0100,USR-0084,LES-0011,in_progress
