tenant_id,tenant_name,tenant_status
TNT-0001,"Cole, Baker and Cantu ",Active
TNT-0002,"West, Johnson and Fitzgerald ",Suspended
TNT-0003,Gonzalez PLC ,Inactive
TNT-0004,Johnson-Orozco ,Active
TNT-0005,Nixon-Mitchell ,Suspended
TNT-0006,Wagner-Gilbert ,Suspended
TNT-0007,"Randall, Bryan and Clark ",Suspended
TNT-0008,"Garrison, Huffman and Brown ",Active
TNT-0009,Mack LLC ,Suspended
TNT-0010,Thompson Inc ,Suspended
TNT-0011,"Schmitt, Taylor and Hanson ",Suspended
TNT-0012,Carroll-Stevens ,Active
TNT-0013,"Jones, Jimenez and Pena ",Suspended
TNT-0014,Nelson-Jordan ,Inactive
TNT-0015,"Morris, Landry and Reyes ",Active
TNT-0016,Brown PLC ,Inactive
TNT-0017,Frey-Beasley ,Active
TNT-0018,"Goodman, Murillo and Santos ",Inactive
TNT-0019,"Gutierrez, Jones and Evans ",Inactive
TNT-0020,"Phillips, Johnson and Walker ",Suspended
TNT-0021,Winters Inc ,Active
TNT-0022,"Willis, Evans and Kline ",Inactive
TNT-0023,"Davis, Kennedy and Woodard ",Suspended
TNT-0024,Ortega LLC ,Suspended
TNT-0025,Sanchez-Long ,Suspended
TNT-0026,"Petty, Wallace and Chapman ",Active
TNT-0027,"Henderson, Cook and Bartlett ",Inactive
TNT-0028,Williams-Hill ,Suspended
TNT-0029,Giles-Hurst ,Active
TNT-0030,"Fischer, Harmon and Young ",Suspended
TNT-0031,Smith PLC ,Inactive
TNT-0032,Jackson-Hernandez ,Active
TNT-0033,Reynolds-Alexander ,Inactive
TNT-0034,"Mason, Richardson and Rodriguez ",Active
TNT-0035,Downs-Jones ,Suspended
TNT-0036,"Vargas, Hernandez and Ellis ",Suspended
TNT-0037,Craig Inc ,Suspended
TNT-0038,Young Ltd ,Inactive
TNT-0039,"Nelson, Montgomery and Mitchell ",Inactive
TNT-0040,Mayer-Sweeney ,Active
TNT-0041,"Vaughn, Porter and Glover ",Suspended
TNT-0042,Meyers-Ruiz ,Suspended
TNT-0043,"Ayala, Roy and Stewart ",Active
TNT-0044,Robertson-Sherman ,Suspended
TNT-0045,"Rogers, Woodard and Haney ",Suspended
TNT-0046,Hayes Ltd ,Active
TNT-0047,"Fox, Davidson and Lopez ",Suspended
TNT-0048,Torres and Sons ,Active
TNT-0049,Mooney LLC ,Suspended
TNT-0050,Lawson-Barry ,Suspended
TNT-0051,"George, Davis and Rowe ",Suspended
TNT-0052,Reyes Inc ,Active
TNT-0053,"Fry, Cook and Lee ",Inactive
TNT-0054,"Kidd, Kane and Erickson ",Suspended
TNT-0055,Brooks-Tran ,Suspended
TNT-0056,"Garcia, Powell and Phillips ",Inactive
TNT-0057,Meyer-Smith ,Suspended
TNT-0058,"Nguyen, Garrett and Sanders ",Inactive
TNT-0059,"Gillespie, Lewis and Murphy ",Suspended
TNT-0060,Perez LLC ,Suspended
TNT-0061,"Marks, Faulkner and Wilkerson ",Active
TNT-0062,Scott Inc ,Active
TNT-0063,Armstrong-Wiley ,Active
TNT-0064,"Smith, Warren and Price ",Suspended
TNT-0065,Cross-Ross ,Suspended
TNT-0066,Moore-Le ,Inactive
TNT-0067,"Brennan, Hill and Mendez ",Active
TNT-0068,Kent and Sons ,Inactive
TNT-0069,Nicholson PLC ,Inactive
TNT-0070,Sparks-Frye ,Active
TNT-0071,Kent-Hardy ,Active
TNT-0072,Brady-Robertson ,Suspended
TNT-0073,"Miller, Gray and Adams ",Suspended
TNT-0074,"Thomas, Keith and Guerrero ",Active
TNT-0075,Warren-Perkins ,Active
TNT-0076,"Hughes, Sanchez and Jackson ",Inactive
TNT-0077,"Mendez, Smith and Jenkins ",Active
TNT-0078,"Murray, Lambert and Bautista ",Suspended
TNT-0079,"Collins, Mullins and Love ",Suspended
TNT-0080,Garcia-Parker ,Active
TNT-0081,Rangel-Hendrix ,Active
TNT-0082,"Bean, Stephens and Paul ",Inactive
TNT-0083,Perry-Duncan ,Suspended
TNT-0084,Lewis Inc ,Inactive
TNT-0085,Thompson Group ,Suspended
TNT-0086,"Clark, Mclean and Drake ",Suspended
TNT-0087,Huffman-Weaver ,Suspended
TNT-0088,"Johnson, Armstrong and Martinez ",Inactive
TNT-0089,"Cervantes, Sanchez and Young ",Suspended
TNT-0090,"Jones, Allen and Coleman ",Suspended
TNT-0091,Schaefer Ltd ,Suspended
TNT-0092,"Bradley, Alvarez and Cummings ",Inactive
TNT-0093,"Martinez, Brooks and Shepherd ",Inactive
TNT-0094,Lynch-Lawrence ,Inactive
TNT-0095,Thompson LLC ,Suspended
TNT-0096,Harvey-Lee ,Suspended
TNT-0097,"Mahoney, Wolfe and Joyce ",Suspended
TNT-0098,Chambers LLC ,Inactive
TNT-0099,"Sanchez, Gordon and Johnson ",Inactive
TNT-0100,Gibson-Thompson ,Active
TNT-0101,Khan-Marquez ,Active
TNT-0102,Johnson-Rivera ,Inactive
TNT-0103,Flores-Tucker ,Active
TNT-0104,Carpenter and Sons ,Suspended
TNT-0105,Kim LLC ,Active
