warehouse,product,supplier,stock_level,reorder_level,last_updated,transport_cost
WH-C,Tablet,Supplier-Y,651.0,401,2026-06-25,3274.63
WH-A,Laptop,Supplier-W,582.0,316,2025-03-01,4261.15
WH-A,Monitor,Supplier-Y,125.0,340,2025-05-06,2036.49
WH-E,Mouse,Supplier-Y,320.0,84,2025-10-01,3515.63
WH-C,Laptop,Supplier-W,388.0,37,2025-03-10,1343.41
WH-B,Laptop,Supplier-V,772.0,23,2025-03-23,4578.61
WH-D,Tablet,Supplier-X,238.0,282,2024-07-05,2498.56
WH-C,Tablet,Supplier-Z,219.0,387,2026-05-17,4119.04
WH-D,Keyboard,Supplier-V,741.0,224,2025-06-11,4603.03
WH-A,Tablet,Supplier-X,630.0,65,2025-03-10,5167.07
WH-C,Mobile,Supplier-Z,266.0,305,2024-07-10,1437.45
WH-C,Mobile,Supplier-Z,8.0,354,2024-11-07,890.9
WH-C,Laptop,Supplier-W,642.0,351,2024-07-24,3100.85
WH-B,Mobile,Supplier-W,459.0,31,2025-02-11,1222.47
WH-E,Monitor,Supplier-Y,680.0,375,2026-05-20,4133.09
WH-D,Laptop,Supplier-Z,15.0,371,2025-01-18,3325.5
WH-D,Laptop,Supplier-V,853.0,227,2026-02-10,2610.95
WH-D,Mouse,Supplier-X,399.0,250,2025-01-02,1430.28
WH-E,Laptop,Supplier-Z,473.0,249,2025-01-20,1926.67
WH-B,Mobile,Supplier-Z,174.0,305,2026-04-13,3583.49
WH-B,Mouse,Supplier-W,857.0,194,2025-10-25,3839.5
WH-A,Printer,Supplier-V,220.0,294,2026-04-21,1587.22
WH-E,Router,Supplier-Y,892.0,498,2025-03-24,4146.65
WH-B,Mouse,Supplier-Z,286.0,48,2025-03-26,793.19
WH-D,Keyboard,Supplier-V,497.0,369,2025-01-08,1530.37
WH-D,Printer,Supplier-V,464.0,131,2025-09-20,5220.15
WH-D,Mouse,Supplier-Y,172.0,294,2025-12-23,735.71
